,outDegree,indegreeAveGene,indegreeVarGene,indispenAveGene,indispenVarGene,numTissueAve,numTissueVar,closeAveGene,closeVarGene,degreeAveGene,degreeVarGene,pgrkAveGene,pgrkVarGene,egAveGene,egVarGene,SG1_outDegree,SG1_indegreeAveGene,SG1_indegreeVarGene,SG8_outDegree,SG8_indegreeAveGene,SG8_indegreeVarGene,SG19_outDegree,SG19_indegreeAveGene,SG19_indegreeVarGene,SG29_outDegree,SG29_indegreeAveGene,SG29_indegreeVarGene,SG32_outDegree,SG32_indegreeAveGene,SG32_indegreeVarGene,SG36_outDegree,SG36_indegreeAveGene,SG36_indegreeVarGene,SG37_outDegree,SG37_indegreeAveGene,SG37_indegreeVarGene,SG38_outDegree,SG38_indegreeAveGene,SG38_indegreeVarGene,SG47_outDegree,SG47_indegreeAveGene,SG47_indegreeVarGene,SG50_outDegree,SG50_indegreeAveGene,SG50_indegreeVarGene,SG53_outDegree,SG53_indegreeAveGene,SG53_indegreeVarGene,SG57_outDegree,SG57_indegreeAveGene,SG57_indegreeVarGene,SG65_outDegree,SG65_indegreeAveGene,SG65_indegreeVarGene,SG68_outDegree,SG68_indegreeAveGene,SG68_indegreeVarGene,SG72_outDegree,SG72_indegreeAveGene,SG72_indegreeVarGene,conservation,numTissue,delState
chr16-20526200-20528600,4,35.0,11.5,0.1681883834031349,0.0045726087541327,2.0,0.0,0.0001319773602265,1.635161400344766e-10,0.0001329200556567,2.017291510207947e-10,1.5764095705928642e-05,1.0639623994750039e-11,2.542926775370155e-37,6.062318996690078e-76,3.0,11.333333333333336,22.222222222222207,4.0,25.25,5.1875,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0282692,2,Deleted
chr20-42481800-42482400,1,32.0,0.0,0.7311969523931159,0.0,2.0,0.0,0.0612485017646105,0.0,0.0001282065785057,0.0,3.192823827401889e-05,0.0,6.177571214668789e-09,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.132265,2,Deleted
chr19-9278800-9279000,1,28.0,0.0,0.357803391735122,0.0,1.0,0.0,0.0273575950293799,0.0,0.0001131234516227,0.0,8.967157418098155e-06,0.0,8.67698298973383e-16,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047405,1,Deleted
chr8-87100000-87100200,1,61.0,0.0,0.604958846667202,0.0780114116799022,1.0,0.0,0.0002300176849662,0.0,0.0002300176849662,0.0,4.789099598096471e-05,0.0,4.430673912490711e-37,0.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00792,0,Deleted
chr1-203685200-203686000,2,35.5,20.25,0.994174505299922,0.0,1.0,0.0,0.0790287317479461,0.006227078099931,0.0001508312688303,1.1517223776341395e-09,0.0001614824307022,2.2426063273987033e-08,0.028145047216269,0.000792143682806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046865,1,Deleted
chr3-189369600-189370600,1,39.0,0.0,0.865511767102857,0.0,1.0,0.0,0.1074368699413984,0.0,0.000263954720453,0.0,0.0001124932300198,0.0,6.032748976645711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07822,1,Deleted
chr8-6196400-6197200,1,43.0,0.0,0.3820420986007601,0.0,1.0,0.0,0.0591984355000222,0.0,0.0002224761215247,0.0,4.976283367179523e-05,0.0,3.450716206850512e-09,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038065,0,Deleted
chr1-8189600-8190000,1,50.0,0.0,0.919471758362567,0.0,1.0,0.0,0.0230913701233297,0.0,0.0002073929946417,0.0,3.738283771106875e-05,0.0,9.853812396215384e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0519225,1,Deleted
chr17-58580400-58580600,2,43.0,9.0,0.9309779869376608,0.001209246731355,1.0,0.0,0.0770736539995046,0.0058659372702977,0.0002451008118493,5.687517914242669e-11,0.0001780839121644,2.3671299606766285e-08,0.0092572886863411,8.569739382226056e-05,0.0,0.0,0.0,2.0,28.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008645,0,Deleted
chr9-5393200-5395000,3,49.33333333333334,33.55555555555556,0.6700890612274589,0.0482676026014323,1.3333333333333333,0.2222222222222222,0.0249803245495447,0.0012283307785112,0.0001973375767196,1.6430607307812155e-10,2.3366409221960794e-05,2.750728399333056e-11,1.3132404557733549e-08,3.449200989359618e-16,1.0,16.0,0.0,3.0,31.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176183,1,Deleted
